
Трассировка маршрута к google.com [108.177.14.100]
с максимальным числом прыжков 30:

  1     2 ms     1 ms     1 ms  192.168.0.1
  2     5 ms     4 ms    10 ms  87.226.146.216
  3     2 ms     2 ms     2 ms  95.167.93.122
  4     *        *        *     Превышен интервал ожидания для запроса.
  5    26 ms    26 ms    25 ms  72.14.209.89
  6    26 ms    27 ms    57 ms  108.170.250.129
  7    50 ms     *       25 ms  108.170.250.146
  8    48 ms    40 ms    40 ms  72.14.234.54
  9    45 ms    44 ms    43 ms  66.249.95.224
 10    42 ms    42 ms    41 ms  142.250.56.215
 11     *        *        *     Превышен интервал ожидания для запроса.
 12     *        *        *     Превышен интервал ожидания для запроса.
 13     *        *        *     Превышен интервал ожидания для запроса.
 14     *        *        *     Превышен интервал ожидания для запроса.
 15     *        *        *     Превышен интервал ожидания для запроса.
 16     *        *        *     Превышен интервал ожидания для запроса.
 17     *        *        *     Превышен интервал ожидания для запроса.
 18     *        *        *     Превышен интервал ожидания для запроса.
 19     *        *        *     Превышен интервал ожидания для запроса.
 20    40 ms    40 ms    40 ms  lt-in-f100.1e100.net [108.177.14.100]

Трассировка завершена.

